"ID","Sex","Age","CausesOfDeath","Year","Deaths"
1486829,"Male","40-44","Infections",2015,6
1486830,"Male","40-44","Infections",2016,9
1486831,"Male","40-44","Infections",2017,7
1486832,"Male","40-44","Infections",2018,7
1486833,"Male","40-44","Infections",2019,7
1486834,"Male","40-44","Infections",2020,7
1486835,"Male","40-44","Infections",2021,5
1491308,"Male","40-44","Neoplasms",1996,272
1491309,"Male","40-44","Neoplasms",1997,278
1491310,"Male","40-44","Neoplasms",1998,314
1491311,"Male","40-44","Neoplasms",1999,283
1491312,"Male","40-44","Neoplasms",2000,286
1491313,"Male","40-44","Neoplasms",2001,269
1491314,"Male","40-44","Neoplasms",2002,244
1491315,"Male","40-44","Neoplasms",2003,273
1491316,"Male","40-44","Neoplasms",2004,274
1491317,"Male","40-44","Neoplasms",2005,232
1491318,"Male","40-44","Neoplasms",2006,234
1491319,"Male","40-44","Neoplasms",2007,209
1491320,"Male","40-44","Neoplasms",2008,243
1491321,"Male","40-44","Neoplasms",2009,227
1491322,"Male","40-44","Neoplasms",2010,227
1491323,"Male","40-44","Neoplasms",2011,229
1491324,"Male","40-44","Neoplasms",2012,228
1491325,"Male","40-44","Neoplasms",2013,197
1491326,"Male","40-44","Neoplasms",2014,192
1491327,"Male","40-44","Neoplasms",2015,181
1491328,"Male","40-44","Neoplasms",2016,208
1491329,"Male","40-44","Neoplasms",2017,160
1491330,"Male","40-44","Neoplasms",2018,174
1491331,"Male","40-44","Neoplasms",2019,150
1491332,"Male","40-44","Neoplasms",2020,146
1491333,"Male","40-44","Neoplasms",2021,153
1495806,"Male","40-44","Endocr+Metabol",1996,21
1495807,"Male","40-44","Endocr+Metabol",1997,21
1495808,"Male","40-44","Endocr+Metabol",1998,23
1495809,"Male","40-44","Endocr+Metabol",1999,25
1495810,"Male","40-44","Endocr+Metabol",2000,31
1495811,"Male","40-44","Endocr+Metabol",2001,34
1495812,"Male","40-44","Endocr+Metabol",2002,25
1495813,"Male","40-44","Endocr+Metabol",2003,25
1495814,"Male","40-44","Endocr+Metabol",2004,26
1495815,"Male","40-44","Endocr+Metabol",2005,28
1495816,"Male","40-44","Endocr+Metabol",2006,26
1495817,"Male","40-44","Endocr+Metabol",2007,20
1495818,"Male","40-44","Endocr+Metabol",2008,29
1495819,"Male","40-44","Endocr+Metabol",2009,20
1495820,"Male","40-44","Endocr+Metabol",2010,18
1495821,"Male","40-44","Endocr+Metabol",2011,22
1495822,"Male","40-44","Endocr+Metabol",2012,17
1495823,"Male","40-44","Endocr+Metabol",2013,15
1495824,"Male","40-44","Endocr+Metabol",2014,27
1495825,"Male","40-44","Endocr+Metabol",2015,15
1495826,"Male","40-44","Endocr+Metabol",2016,20
1495827,"Male","40-44","Endocr+Metabol",2017,18
1495828,"Male","40-44","Endocr+Metabol",2018,14
1495829,"Male","40-44","Endocr+Metabol",2019,23
1495830,"Male","40-44","Endocr+Metabol",2020,19
1495831,"Male","40-44","Endocr+Metabol",2021,26
1497730,"Male","40-44","Psychological",1996,30
1497731,"Male","40-44","Psychological",1997,17
1497732,"Male","40-44","Psychological",1998,17
1497733,"Male","40-44","Psychological",1999,35
1497734,"Male","40-44","Psychological",2000,26
1497735,"Male","40-44","Psychological",2001,27
1497736,"Male","40-44","Psychological",2002,29
1497737,"Male","40-44","Psychological",2003,11
1497738,"Male","40-44","Psychological",2004,15
1497739,"Male","40-44","Psychological",2005,20
1497740,"Male","40-44","Psychological",2006,23
1497741,"Male","40-44","Psychological",2007,7
1497742,"Male","40-44","Psychological",2008,20
1497743,"Male","40-44","Psychological",2009,17
1497744,"Male","40-44","Psychological",2010,10
1497745,"Male","40-44","Psychological",2011,9
1497746,"Male","40-44","Psychological",2012,11
1497747,"Male","40-44","Psychological",2013,24
1497748,"Male","40-44","Psychological",2014,24
1497749,"Male","40-44","Psychological",2015,25
1497750,"Male","40-44","Psychological",2016,28
1497751,"Male","40-44","Psychological",2017,27
1497752,"Male","40-44","Psychological",2018,20
1497753,"Male","40-44","Psychological",2019,39
1497754,"Male","40-44","Psychological",2020,27
1497755,"Male","40-44","Psychological",2021,33
1499784,"Male","40-44","NervousSystem",1996,22
1499785,"Male","40-44","NervousSystem",1997,23
1499786,"Male","40-44","NervousSystem",1998,17
1499787,"Male","40-44","NervousSystem",1999,30
1499788,"Male","40-44","NervousSystem",2000,28
1499789,"Male","40-44","NervousSystem",2001,21
1499790,"Male","40-44","NervousSystem",2002,20
1499791,"Male","40-44","NervousSystem",2003,28
1499792,"Male","40-44","NervousSystem",2004,22
1499793,"Male","40-44","NervousSystem",2005,42
1499794,"Male","40-44","NervousSystem",2006,31
1499795,"Male","40-44","NervousSystem",2007,32
1499796,"Male","40-44","NervousSystem",2008,25
1499797,"Male","40-44","NervousSystem",2009,37
1499798,"Male","40-44","NervousSystem",2010,28
1499799,"Male","40-44","NervousSystem",2011,21
1499800,"Male","40-44","NervousSystem",2012,19
1499801,"Male","40-44","NervousSystem",2013,29
1499802,"Male","40-44","NervousSystem",2014,23
1499803,"Male","40-44","NervousSystem",2015,19
1499804,"Male","40-44","NervousSystem",2016,30
1499805,"Male","40-44","NervousSystem",2017,14
1499806,"Male","40-44","NervousSystem",2018,22
1499807,"Male","40-44","NervousSystem",2019,15
1499808,"Male","40-44","NervousSystem",2020,23
1499809,"Male","40-44","NervousSystem",2021,18
1501578,"Male","40-44","Eye+Adnexa",1996,0
1501579,"Male","40-44","Eye+Adnexa",1997,1
1501580,"Male","40-44","Eye+Adnexa",1998,0
1501581,"Male","40-44","Eye+Adnexa",1999,0
1501582,"Male","40-44","Eye+Adnexa",2000,1
1501583,"Male","40-44","Eye+Adnexa",2001,0
1501584,"Male","40-44","Eye+Adnexa",2002,0
1501585,"Male","40-44","Eye+Adnexa",2003,0
1501586,"Male","40-44","Eye+Adnexa",2004,0
1501587,"Male","40-44","Eye+Adnexa",2005,0
1501588,"Male","40-44","Eye+Adnexa",2006,0
1501589,"Male","40-44","Eye+Adnexa",2007,0
1501590,"Male","40-44","Eye+Adnexa",2008,0
1501591,"Male","40-44","Eye+Adnexa",2009,0
1501592,"Male","40-44","Eye+Adnexa",2010,0
1501593,"Male","40-44","Eye+Adnexa",2011,0
1501594,"Male","40-44","Eye+Adnexa",2012,0
1501595,"Male","40-44","Eye+Adnexa",2013,0
1501596,"Male","40-44","Eye+Adnexa",2014,0
1501597,"Male","40-44","Eye+Adnexa",2015,0
1501598,"Male","40-44","Eye+Adnexa",2016,0
1501599,"Male","40-44","Eye+Adnexa",2017,0
1501600,"Male","40-44","Eye+Adnexa",2018,0
1501601,"Male","40-44","Eye+Adnexa",2019,0
1501602,"Male","40-44","Eye+Adnexa",2020,0
1501603,"Male","40-44","Eye+Adnexa",2021,0
1503476,"Male","40-44","CirculatorySystem",1996,294
1503477,"Male","40-44","CirculatorySystem",1997,311
1503478,"Male","40-44","CirculatorySystem",1998,307
1503479,"Male","40-44","CirculatorySystem",1999,272
1503480,"Male","40-44","CirculatorySystem",2000,267
1503481,"Male","40-44","CirculatorySystem",2001,244
1503482,"Male","40-44","CirculatorySystem",2002,229
1503483,"Male","40-44","CirculatorySystem",2003,278
1503484,"Male","40-44","CirculatorySystem",2004,215
1503485,"Male","40-44","CirculatorySystem",2005,223
1503486,"Male","40-44","CirculatorySystem",2006,187
1503487,"Male","40-44","CirculatorySystem",2007,201
1503488,"Male","40-44","CirculatorySystem",2008,183
1503489,"Male","40-44","CirculatorySystem",2009,174
1503490,"Male","40-44","CirculatorySystem",2010,174
1503491,"Male","40-44","CirculatorySystem",2011,151
1503492,"Male","40-44","CirculatorySystem",2012,146
1503493,"Male","40-44","CirculatorySystem",2013,115
1503494,"Male","40-44","CirculatorySystem",2014,112
1503495,"Male","40-44","CirculatorySystem",2015,113
1503496,"Male","40-44","CirculatorySystem",2016,98
1503497,"Male","40-44","CirculatorySystem",2017,83
1503498,"Male","40-44","CirculatorySystem",2018,86
1503499,"Male","40-44","CirculatorySystem",2019,79
1503500,"Male","40-44","CirculatorySystem",2020,71
1503501,"Male","40-44","CirculatorySystem",2021,109
1507194,"Male","40-44","DigestiveSystem",1996,68
1507195,"Male","40-44","DigestiveSystem",1997,56
1507196,"Male","40-44","DigestiveSystem",1998,82
1507197,"Male","40-44","DigestiveSystem",1999,56
1507198,"Male","40-44","DigestiveSystem",2000,64
1507199,"Male","40-44","DigestiveSystem",2001,56
1507200,"Male","40-44","DigestiveSystem",2002,60
1507201,"Male","40-44","DigestiveSystem",2003,66
1507202,"Male","40-44","DigestiveSystem",2004,65
1507203,"Male","40-44","DigestiveSystem",2005,45
1507204,"Male","40-44","DigestiveSystem",2006,43
1507205,"Male","40-44","DigestiveSystem",2007,30
1507206,"Male","40-44","DigestiveSystem",2008,40
1507207,"Male","40-44","DigestiveSystem",2009,46
1507208,"Male","40-44","DigestiveSystem",2010,49
1507209,"Male","40-44","DigestiveSystem",2011,33
1507210,"Male","40-44","DigestiveSystem",2012,24
1507211,"Male","40-44","DigestiveSystem",2013,26
1507212,"Male","40-44","DigestiveSystem",2014,32
1507213,"Male","40-44","DigestiveSystem",2015,24
1507214,"Male","40-44","DigestiveSystem",2016,23
1507215,"Male","40-44","DigestiveSystem",2017,20
1507216,"Male","40-44","DigestiveSystem",2018,28
1507217,"Male","40-44","DigestiveSystem",2019,27
1507218,"Male","40-44","DigestiveSystem",2020,39
1507219,"Male","40-44","DigestiveSystem",2021,23
1509092,"Male","40-44","SkinDeseases",1996,0
1509093,"Male","40-44","SkinDeseases",1997,1
1509094,"Male","40-44","SkinDeseases",1998,1
1509095,"Male","40-44","SkinDeseases",1999,1
1509096,"Male","40-44","SkinDeseases",2000,0
1509097,"Male","40-44","SkinDeseases",2001,1
1509098,"Male","40-44","SkinDeseases",2002,0
1509099,"Male","40-44","SkinDeseases",2003,2
1509100,"Male","40-44","SkinDeseases",2004,1
1509101,"Male","40-44","SkinDeseases",2005,1
1509102,"Male","40-44","SkinDeseases",2006,0
1509103,"Male","40-44","SkinDeseases",2007,0
1509104,"Male","40-44","SkinDeseases",2008,1
1509105,"Male","40-44","SkinDeseases",2009,0
1509106,"Male","40-44","SkinDeseases",2010,1
1509107,"Male","40-44","SkinDeseases",2011,0
1509108,"Male","40-44","SkinDeseases",2012,0
1509109,"Male","40-44","SkinDeseases",2013,0
1509110,"Male","40-44","SkinDeseases",2014,1
1509111,"Male","40-44","SkinDeseases",2015,1
1509112,"Male","40-44","SkinDeseases",2016,0
1509113,"Male","40-44","SkinDeseases",2017,0
1509114,"Male","40-44","SkinDeseases",2018,0
1509115,"Male","40-44","SkinDeseases",2019,0
1509116,"Male","40-44","SkinDeseases",2020,1
1509117,"Male","40-44","SkinDeseases",2021,0
1510990,"Male","40-44","MusculSystem",1996,4
1510991,"Male","40-44","MusculSystem",1997,0
1510992,"Male","40-44","MusculSystem",1998,2
1510993,"Male","40-44","MusculSystem",1999,3
1510994,"Male","40-44","MusculSystem",2000,6
1510995,"Male","40-44","MusculSystem",2001,1
1510996,"Male","40-44","MusculSystem",2002,5
1510997,"Male","40-44","MusculSystem",2003,2
1510998,"Male","40-44","MusculSystem",2004,2
1510999,"Male","40-44","MusculSystem",2005,2
1511000,"Male","40-44","MusculSystem",2006,6
1511001,"Male","40-44","MusculSystem",2007,0
1511002,"Male","40-44","MusculSystem",2008,3
1511003,"Male","40-44","MusculSystem",2009,0
1511004,"Male","40-44","MusculSystem",2010,4
1511005,"Male","40-44","MusculSystem",2011,2
1511006,"Male","40-44","MusculSystem",2012,1
1511007,"Male","40-44","MusculSystem",2013,4
1511008,"Male","40-44","MusculSystem",2014,4
1511009,"Male","40-44","MusculSystem",2015,3
1511010,"Male","40-44","MusculSystem",2016,2
1511011,"Male","40-44","MusculSystem",2017,4
1511012,"Male","40-44","MusculSystem",2018,3
1511013,"Male","40-44","MusculSystem",2019,1
1511014,"Male","40-44","MusculSystem",2020,2
1511015,"Male","40-44","MusculSystem",2021,1
1513070,"Male","40-44","GenitourinarySystem",1996,6
1513071,"Male","40-44","GenitourinarySystem",1997,4
1513072,"Male","40-44","GenitourinarySystem",1998,3
1513073,"Male","40-44","GenitourinarySystem",1999,3
1513074,"Male","40-44","GenitourinarySystem",2000,4
1513075,"Male","40-44","GenitourinarySystem",2001,8
1513076,"Male","40-44","GenitourinarySystem",2002,8
1513077,"Male","40-44","GenitourinarySystem",2003,6
1513078,"Male","40-44","GenitourinarySystem",2004,8
1513079,"Male","40-44","GenitourinarySystem",2005,5
1513080,"Male","40-44","GenitourinarySystem",2006,5
1513081,"Male","40-44","GenitourinarySystem",2007,4
1513082,"Male","40-44","GenitourinarySystem",2008,7
1513083,"Male","40-44","GenitourinarySystem",2009,2
1513084,"Male","40-44","GenitourinarySystem",2010,1
1513085,"Male","40-44","GenitourinarySystem",2011,5
1513086,"Male","40-44","GenitourinarySystem",2012,4
1513087,"Male","40-44","GenitourinarySystem",2013,2
1513088,"Male","40-44","GenitourinarySystem",2014,2
1513089,"Male","40-44","GenitourinarySystem",2015,1
1513090,"Male","40-44","GenitourinarySystem",2016,3
1513091,"Male","40-44","GenitourinarySystem",2017,1
1513092,"Male","40-44","GenitourinarySystem",2018,1
1513093,"Male","40-44","GenitourinarySystem",2019,5
1513094,"Male","40-44","GenitourinarySystem",2020,2
1513095,"Male","40-44","GenitourinarySystem",2021,2
1517230,"Male","40-44","Perinatal",1996,0
1517231,"Male","40-44","Perinatal",1997,0
1517232,"Male","40-44","Perinatal",1998,0
1517233,"Male","40-44","Perinatal",1999,0
1517234,"Male","40-44","Perinatal",2000,0
1517235,"Male","40-44","Perinatal",2001,0
1517236,"Male","40-44","Perinatal",2002,1
1517237,"Male","40-44","Perinatal",2003,0
1517238,"Male","40-44","Perinatal",2004,0
1517239,"Male","40-44","Perinatal",2005,0
1517240,"Male","40-44","Perinatal",2006,0
1517241,"Male","40-44","Perinatal",2007,0
1517242,"Male","40-44","Perinatal",2008,0
1517243,"Male","40-44","Perinatal",2009,0
1517244,"Male","40-44","Perinatal",2010,0
1517245,"Male","40-44","Perinatal",2011,0
1517246,"Male","40-44","Perinatal",2012,0
1517247,"Male","40-44","Perinatal",2013,0
1517248,"Male","40-44","Perinatal",2014,0
1517249,"Male","40-44","Perinatal",2015,0
1517250,"Male","40-44","Perinatal",2016,0
1517251,"Male","40-44","Perinatal",2017,0
1517252,"Male","40-44","Perinatal",2018,0
1517253,"Male","40-44","Perinatal",2019,0
1517254,"Male","40-44","Perinatal",2020,0
1517255,"Male","40-44","Perinatal",2021,0
1518790,"Male","40-44","CongenitalMalform",1996,7
1518791,"Male","40-44","CongenitalMalform",1997,9
1518792,"Male","40-44","CongenitalMalform",1998,5
1518793,"Male","40-44","CongenitalMalform",1999,7
1518794,"Male","40-44","CongenitalMalform",2000,8
1518795,"Male","40-44","CongenitalMalform",2001,8
1518796,"Male","40-44","CongenitalMalform",2002,9
1518797,"Male","40-44","CongenitalMalform",2003,4
1518798,"Male","40-44","CongenitalMalform",2004,5
1518799,"Male","40-44","CongenitalMalform",2005,9
1518800,"Male","40-44","CongenitalMalform",2006,10
1518801,"Male","40-44","CongenitalMalform",2007,5
1518802,"Male","40-44","CongenitalMalform",2008,7
1518803,"Male","40-44","CongenitalMalform",2009,8
1518804,"Male","40-44","CongenitalMalform",2010,3
1518805,"Male","40-44","CongenitalMalform",2011,3
1518806,"Male","40-44","CongenitalMalform",2012,3
1518807,"Male","40-44","CongenitalMalform",2013,6
1518808,"Male","40-44","CongenitalMalform",2014,5
1518809,"Male","40-44","CongenitalMalform",2015,3
1518810,"Male","40-44","CongenitalMalform",2016,5
1518811,"Male","40-44","CongenitalMalform",2017,6
1518812,"Male","40-44","CongenitalMalform",2018,6
1518813,"Male","40-44","CongenitalMalform",2019,7
1518814,"Male","40-44","CongenitalMalform",2020,7
1518815,"Male","40-44","CongenitalMalform",2021,1
1521078,"Male","40-44","UnclassifiedAbnorm",1996,74
1521079,"Male","40-44","UnclassifiedAbnorm",1997,65
1521080,"Male","40-44","UnclassifiedAbnorm",1998,79
1521081,"Male","40-44","UnclassifiedAbnorm",1999,94
1521082,"Male","40-44","UnclassifiedAbnorm",2000,103
1521083,"Male","40-44","UnclassifiedAbnorm",2001,90
1521084,"Male","40-44","UnclassifiedAbnorm",2002,93
1521085,"Male","40-44","UnclassifiedAbnorm",2003,81
1521086,"Male","40-44","UnclassifiedAbnorm",2004,71
1521087,"Male","40-44","UnclassifiedAbnorm",2005,58
1521088,"Male","40-44","UnclassifiedAbnorm",2006,58
1521089,"Male","40-44","UnclassifiedAbnorm",2007,59
1521090,"Male","40-44","UnclassifiedAbnorm",2008,73
1521091,"Male","40-44","UnclassifiedAbnorm",2009,67
1521092,"Male","40-44","UnclassifiedAbnorm",2010,50
1521093,"Male","40-44","UnclassifiedAbnorm",2011,55
1521094,"Male","40-44","UnclassifiedAbnorm",2012,58
1521095,"Male","40-44","UnclassifiedAbnorm",2013,62
1521096,"Male","40-44","UnclassifiedAbnorm",2014,45
1521097,"Male","40-44","UnclassifiedAbnorm",2015,48
1521098,"Male","40-44","UnclassifiedAbnorm",2016,45
1521099,"Male","40-44","UnclassifiedAbnorm",2017,47
1521100,"Male","40-44","UnclassifiedAbnorm",2018,38
1521101,"Male","40-44","UnclassifiedAbnorm",2019,65
1521102,"Male","40-44","UnclassifiedAbnorm",2020,49
1521103,"Male","40-44","UnclassifiedAbnorm",2021,44
1523494,"Male","40-44","COVID-19",2020,22
1523495,"Male","40-44","COVID-19",2021,24
1523522,"Male","40-44","ExternalCauses",1996,203
1523523,"Male","40-44","ExternalCauses",1997,202
1523524,"Male","40-44","ExternalCauses",1998,191
1523525,"Male","40-44","ExternalCauses",1999,191
1523526,"Male","40-44","ExternalCauses",2000,229
1523527,"Male","40-44","ExternalCauses",2001,218
1523528,"Male","40-44","ExternalCauses",2002,242
1523529,"Male","40-44","ExternalCauses",2003,263
1523530,"Male","40-44","ExternalCauses",2004,238
1523531,"Male","40-44","ExternalCauses",2005,231
1523532,"Male","40-44","ExternalCauses",2006,201
1523533,"Male","40-44","ExternalCauses",2007,188
1523534,"Male","40-44","ExternalCauses",2008,225
1523535,"Male","40-44","ExternalCauses",2009,191
1523536,"Male","40-44","ExternalCauses",2010,204
1523537,"Male","40-44","ExternalCauses",2011,193
1523538,"Male","40-44","ExternalCauses",2012,212
1523539,"Male","40-44","ExternalCauses",2013,236
1523540,"Male","40-44","ExternalCauses",2014,204
1523541,"Male","40-44","ExternalCauses",2015,167
1523542,"Male","40-44","ExternalCauses",2016,168
1523543,"Male","40-44","ExternalCauses",2017,188
1523544,"Male","40-44","ExternalCauses",2018,145
1523545,"Male","40-44","ExternalCauses",2019,150
1523546,"Male","40-44","ExternalCauses",2020,148
1523547,"Male","40-44","ExternalCauses",2021,140
1533272,"Male","45-49","Infections",1996,72
1533273,"Male","45-49","Infections",1997,40
1533274,"Male","45-49","Infections",1998,40
1533275,"Male","45-49","Infections",1999,36
1533276,"Male","45-49","Infections",2000,44
1533277,"Male","45-49","Infections",2001,36
1533278,"Male","45-49","Infections",2002,32
1533279,"Male","45-49","Infections",2003,34
1533280,"Male","45-49","Infections",2004,36
1533281,"Male","45-49","Infections",2005,37
1533282,"Male","45-49","Infections",2006,29
1533283,"Male","45-49","Infections",2007,21
1533284,"Male","45-49","Infections",2008,17
1533285,"Male","45-49","Infections",2009,37
1533286,"Male","45-49","Infections",2010,25
1533287,"Male","45-49","Infections",2011,28
1533288,"Male","45-49","Infections",2012,26
1533289,"Male","45-49","Infections",2013,19
1533290,"Male","45-49","Infections",2014,25
1533291,"Male","45-49","Infections",2015,22
1533292,"Male","45-49","Infections",2016,11
1533293,"Male","45-49","Infections",2017,22
1533294,"Male","45-49","Infections",2018,19
1533295,"Male","45-49","Infections",2019,10
1533296,"Male","45-49","Infections",2020,14
1533297,"Male","45-49","Infections",2021,7
1537770,"Male","45-49","Neoplasms",1996,631
1537771,"Male","45-49","Neoplasms",1997,544
1537772,"Male","45-49","Neoplasms",1998,532
1537773,"Male","45-49","Neoplasms",1999,518
1537774,"Male","45-49","Neoplasms",2000,528
1537775,"Male","45-49","Neoplasms",2001,507
1537776,"Male","45-49","Neoplasms",2002,511
1537777,"Male","45-49","Neoplasms",2003,514
1537778,"Male","45-49","Neoplasms",2004,505
1537779,"Male","45-49","Neoplasms",2005,469
1537780,"Male","45-49","Neoplasms",2006,510
1537781,"Male","45-49","Neoplasms",2007,466
1537782,"Male","45-49","Neoplasms",2008,465
1537783,"Male","45-49","Neoplasms",2009,456
1537784,"Male","45-49","Neoplasms",2010,492
1537785,"Male","45-49","Neoplasms",2011,431
1537786,"Male","45-49","Neoplasms",2012,453
1537787,"Male","45-49","Neoplasms",2013,405
1537788,"Male","45-49","Neoplasms",2014,432
1537789,"Male","45-49","Neoplasms",2015,415
1537790,"Male","45-49","Neoplasms",2016,399
1537791,"Male","45-49","Neoplasms",2017,379
1537792,"Male","45-49","Neoplasms",2018,357
1537793,"Male","45-49","Neoplasms",2019,358
1537794,"Male","45-49","Neoplasms",2020,353
1537795,"Male","45-49","Neoplasms",2021,297
1542268,"Male","45-49","Endocr+Metabol",1996,49
1542269,"Male","45-49","Endocr+Metabol",1997,42
1542270,"Male","45-49","Endocr+Metabol",1998,47
1542271,"Male","45-49","Endocr+Metabol",1999,42
1542272,"Male","45-49","Endocr+Metabol",2000,33
1542273,"Male","45-49","Endocr+Metabol",2001,63
1542274,"Male","45-49","Endocr+Metabol",2002,53
1542275,"Male","45-49","Endocr+Metabol",2003,42
1542276,"Male","45-49","Endocr+Metabol",2004,52
1542277,"Male","45-49","Endocr+Metabol",2005,44
1542278,"Male","45-49","Endocr+Metabol",2006,47
1542279,"Male","45-49","Endocr+Metabol",2007,32
1542280,"Male","45-49","Endocr+Metabol",2008,49
1542281,"Male","45-49","Endocr+Metabol",2009,44
1542282,"Male","45-49","Endocr+Metabol",2010,46
1542283,"Male","45-49","Endocr+Metabol",2011,29
1542284,"Male","45-49","Endocr+Metabol",2012,34
1542285,"Male","45-49","Endocr+Metabol",2013,42
1542286,"Male","45-49","Endocr+Metabol",2014,33
1542287,"Male","45-49","Endocr+Metabol",2015,40
1542288,"Male","45-49","Endocr+Metabol",2016,30
1542289,"Male","45-49","Endocr+Metabol",2017,34
1542290,"Male","45-49","Endocr+Metabol",2018,36
1542291,"Male","45-49","Endocr+Metabol",2019,34
1542292,"Male","45-49","Endocr+Metabol",2020,46
1542293,"Male","45-49","Endocr+Metabol",2021,29
1544192,"Male","45-49","Psychological",1996,24
1544193,"Male","45-49","Psychological",1997,29
1544194,"Male","45-49","Psychological",1998,29
1544195,"Male","45-49","Psychological",1999,28
1544196,"Male","45-49","Psychological",2000,35
1544197,"Male","45-49","Psychological",2001,33
1544198,"Male","45-49","Psychological",2002,31
1544199,"Male","45-49","Psychological",2003,21
1544200,"Male","45-49","Psychological",2004,20
1544201,"Male","45-49","Psychological",2005,31
1544202,"Male","45-49","Psychological",2006,33
1544203,"Male","45-49","Psychological",2007,20
1544204,"Male","45-49","Psychological",2008,21
1544205,"Male","45-49","Psychological",2009,24
1544206,"Male","45-49","Psychological",2010,24
1544207,"Male","45-49","Psychological",2011,10
1544208,"Male","45-49","Psychological",2012,25
1544209,"Male","45-49","Psychological",2013,32
1544210,"Male","45-49","Psychological",2014,35
1544211,"Male","45-49","Psychological",2015,41
1544212,"Male","45-49","Psychological",2016,46
1544213,"Male","45-49","Psychological",2017,43
1544214,"Male","45-49","Psychological",2018,45
1544215,"Male","45-49","Psychological",2019,41
1544216,"Male","45-49","Psychological",2020,46
1544217,"Male","45-49","Psychological",2021,55
1546246,"Male","45-49","NervousSystem",1996,37
1546247,"Male","45-49","NervousSystem",1997,38
1546248,"Male","45-49","NervousSystem",1998,35
1546249,"Male","45-49","NervousSystem",1999,38
1546250,"Male","45-49","NervousSystem",2000,38
1546251,"Male","45-49","NervousSystem",2001,36
1546252,"Male","45-49","NervousSystem",2002,35
1546253,"Male","45-49","NervousSystem",2003,44
1546254,"Male","45-49","NervousSystem",2004,55
1546255,"Male","45-49","NervousSystem",2005,38
1546256,"Male","45-49","NervousSystem",2006,28
1546257,"Male","45-49","NervousSystem",2007,33
1546258,"Male","45-49","NervousSystem",2008,29
1546259,"Male","45-49","NervousSystem",2009,39
1546260,"Male","45-49","NervousSystem",2010,48
1546261,"Male","45-49","NervousSystem",2011,39
1546262,"Male","45-49","NervousSystem",2012,32
1546263,"Male","45-49","NervousSystem",2013,35
1546264,"Male","45-49","NervousSystem",2014,38
1546265,"Male","45-49","NervousSystem",2015,46
1546266,"Male","45-49","NervousSystem",2016,43
1546267,"Male","45-49","NervousSystem",2017,46
1546268,"Male","45-49","NervousSystem",2018,41
1546269,"Male","45-49","NervousSystem",2019,37
1546270,"Male","45-49","NervousSystem",2020,41
1546271,"Male","45-49","NervousSystem",2021,33
1548040,"Male","45-49","Eye+Adnexa",1996,1
1548041,"Male","45-49","Eye+Adnexa",1997,0
1548042,"Male","45-49","Eye+Adnexa",1998,0
1548043,"Male","45-49","Eye+Adnexa",1999,0
1548044,"Male","45-49","Eye+Adnexa",2000,0
1548045,"Male","45-49","Eye+Adnexa",2001,1
1548046,"Male","45-49","Eye+Adnexa",2002,0
1548047,"Male","45-49","Eye+Adnexa",2003,0
1548048,"Male","45-49","Eye+Adnexa",2004,0
1548049,"Male","45-49","Eye+Adnexa",2005,0
1548050,"Male","45-49","Eye+Adnexa",2006,0
1548051,"Male","45-49","Eye+Adnexa",2007,0
1548052,"Male","45-49","Eye+Adnexa",2008,0
1548053,"Male","45-49","Eye+Adnexa",2009,0
1548054,"Male","45-49","Eye+Adnexa",2010,0
1548055,"Male","45-49","Eye+Adnexa",2011,0
1548056,"Male","45-49","Eye+Adnexa",2012,0
1548057,"Male","45-49","Eye+Adnexa",2013,0
1548058,"Male","45-49","Eye+Adnexa",2014,0
1548059,"Male","45-49","Eye+Adnexa",2015,0
1548060,"Male","45-49","Eye+Adnexa",2016,0
1548061,"Male","45-49","Eye+Adnexa",2017,0
1548062,"Male","45-49","Eye+Adnexa",2018,0
1548063,"Male","45-49","Eye+Adnexa",2019,0
1548064,"Male","45-49","Eye+Adnexa",2020,0
1548065,"Male","45-49","Eye+Adnexa",2021,0
1549938,"Male","45-49","CirculatorySystem",1996,593
1549939,"Male","45-49","CirculatorySystem",1997,466
1549940,"Male","45-49","CirculatorySystem",1998,494
1549941,"Male","45-49","CirculatorySystem",1999,491
1549942,"Male","45-49","CirculatorySystem",2000,468
1549943,"Male","45-49","CirculatorySystem",2001,440
1549944,"Male","45-49","CirculatorySystem",2002,471
1549945,"Male","45-49","CirculatorySystem",2003,448
1549946,"Male","45-49","CirculatorySystem",2004,388
1549947,"Male","45-49","CirculatorySystem",2005,377
1549948,"Male","45-49","CirculatorySystem",2006,344
1549949,"Male","45-49","CirculatorySystem",2007,345
1549950,"Male","45-49","CirculatorySystem",2008,349
1549951,"Male","45-49","CirculatorySystem",2009,295
1549952,"Male","45-49","CirculatorySystem",2010,263
1549953,"Male","45-49","CirculatorySystem",2011,324
1549954,"Male","45-49","CirculatorySystem",2012,264
1549955,"Male","45-49","CirculatorySystem",2013,237
1549956,"Male","45-49","CirculatorySystem",2014,232
1549957,"Male","45-49","CirculatorySystem",2015,243
1549958,"Male","45-49","CirculatorySystem",2016,201
1549959,"Male","45-49","CirculatorySystem",2017,199
1549960,"Male","45-49","CirculatorySystem",2018,200
1549961,"Male","45-49","CirculatorySystem",2019,186
1549962,"Male","45-49","CirculatorySystem",2020,188
1549963,"Male","45-49","CirculatorySystem",2021,197
1553656,"Male","45-49","DigestiveSystem",1996,113
1553657,"Male","45-49","DigestiveSystem",1997,109
